USERTYPE,USERNAME,PASSWORD,AUTH_URL,API_URL,ATLASSIAN_URL,SUBSCRIPTIONAPI_URL,FROMDT,TODT,INVOICE_SCHEDULE
ADMIN,qaschool1@yahoo.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
TEACHER,qateacher1@yahoo.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
PARENT,qaparent1@yahoo.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
STUDENT,qastudent1@yahoo.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
ADMIN,school_music_03@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
TEACHER,teacher_music_03@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
PARENT,parent4.5@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
STUDENT,student_music_03@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
ADMIN,adminv3@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
TEACHER,teacherv3@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
PARENT,parentv3@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
STUDENT,studentv3@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
ADMIN,FehVq@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
ADMIN,sus1@gmail.com,Test@123,https://www.googleapis.com/identitytoolkit/v3/relyingparty/verifyPassword?key=AIzaSyD7oMsXvjTMB0S3Xwbm0wV0ycQvE8AZiig,https://qa-api.mousiki.io/api/v1/,https://jsd-widget.atlassian.com/api/,https://qa-subscription.api.mousiki.io/api/v1/,06/28/2021,04/28/2023,WEEKLY
